"Country, Others",State,Continent,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases / 1M Polulation,Deaths / 1M Population,Total Tests,Tests / 1M Population,Population,1 Case ever X People,1 Death ever X People,1 Test ever X People
USA,District Of Columbia,USA,"9,767",+58,515,+4,,,"8,109",,"13,839",730,"63,036","89,318",,,,
USA,New Mexico,USA,"9,621",,431,,,,"5,118",,"4,588",206,"258,994","123,517",,,,
USA,Oklahoma,USA,"8,231",+158,359,,,,"1,294",,"2,080",91,"252,624","63,843",,,,
Iran,,Asia,"187,427","+2,472","8,837 ",+107,"148,674","+1,926","29,916","2,781","2,233",105,"1,244,074","14,821","83,939,011",448,"9,499",67
USA,South Dakota,USA,"5,833",,75,,,,930,,"6,594",85,"64,513","72,924",,,,
USA,Oregon,USA,"5,535",,174,,,,"2,965",,"1,312",41,"166,189","39,402",,,,
USA,New Hampshire,USA,"5,299",,318,,,,"1,076",,"3,897",234,"112,052","82,409",,,,
USA,Idaho,USA,"3,399",,87,,,,475,,"1,902",49,"62,658","35,062",,,,
USA,North Dakota,USA,"3,080",+22,74,,,,348,,"4,042",97,"86,880","114,006",,,,
USA,Maine,USA,"2,793",+36,100,,,,541,,"2,078",74,"74,684","55,560",,,,
USA,West Virginia,USA,"2,289",+15,88,,,,630,,"1,277",49,"129,724","72,385",,,,
USA,Vermont,USA,"1,127",+2,55,,,,165,,"1,806",88,"49,933","80,022",,,,
USA,Wyoming,USA,"1,060",+10,18,,,,228,,"1,832",31,"33,055","57,114",,,,
USA,Hawaii,USA,723,,17,,,,78,,511,12,"69,512","49,095",,,,
USA,Alaska,USA,654,,12,,,,239,,894,16,"71,803","98,153",,,,
USA,Montana,USA,601,+13,19,+1,,,72,,562,18,"58,907","55,116",,,,
Germany,,Europe,"187,580",+157,"8,867 ",,"172,200",+300,"6,513",447,"2,239",106,"4,694,147","56,035","83,771,837",447,"9,448",18
Spain,,Europe,"290,685",,"27,136 ",,N/A,N/A,N/A,617,"6,217",580,"4,465,338","95,507","46,753,986",161,"1,723",10
Italy,,Europe,"236,989",+338,"34,345 ",+44,"176,370","+1,505","26,274",209,"3,919",568,"4,620,718","76,419","60,465,633",255,"1,761",13
Brazil,,South America,"852,785","+1,989","42,837 ",+46,"437,512","+9,902","372,436","8,318","4,013",202,"1,499,041","7,055","212,488,104",249,"4,960",142
Bangladesh,,Asia,"87,520","+3,141","1,171 ",+32,"18,730",+902,"67,619",1,532,7,"504,465","3,065","164,609,508","1,881","140,572",326
Canada,,North America,"98,607",+197,"8,119 ",+12,"59,777",+423,"30,711","1,937","2,614",215,"2,113,924","56,033","37,726,251",383,"4,647",18
Russia,,Europe,"528,964","+8,835","6,948 ",+119,"280,050","+5,409","241,966","2,300","3,625",48,"14,880,172","101,967","145,931,723",276,"21,003",10
Qatar,,Asia,"79,602","+1,186",73 ,+3,"56,898","+1,646","22,631",231,"28,350",26,"290,714","103,538","2,807,805 ",35,"38,463",10
China,,Asia,"83,132",+57,"4,634 ",,"78,369",+2,129,,58,3,,,"1,439,323,776 ","17,314","310,601",
Saint Pierre Miquelon,,North America,1,, ,,1,,0,,173,,,,"5,795","5,795",,
Lesotho,,Africa,4,, ,,2,,2,,2,,"1,515",707,"2,141,440","535,360",,"1,413"
St. Barth,,North America,6,, ,,6,,0,,608,,152,"15,391","9,876","1,646",,65
Papua New Guinea,,Australia/Oceania,8,, ,,8,,0,,0.9,,"5,281",591,"8,937,965","1,117,246",,"1,692"
South Africa,,Africa,"65,736",,"1,423 ",,"36,850",,"27,463",208,"1,109",24,"1,087,887","18,354","59,271,249",902,"41,652",54
Caribbean Netherlands,,North America,7,, ,,7,,0,,267,,424,"16,176","26,211","3,744",,62
Saudi Arabia,,Asia,"127,541","+4,233",972 ,+40,"84,720","+2,172","41,849","1,855","3,666",28,"1,106,398","31,806","34,785,871",273,"35,788",31
Pakistan,,Asia,"139,230","+6,825","2,632 ",+81,"51,735","+1,679","84,863",111,631,12,"868,565","3,936","220,661,983","1,585","83,838",254
Anguilla,,North America,3,, ,,3,,0,,200,,93,"6,201","14,997","4,999",,161
Western Sahara,,Africa,9,,1 ,,8,+2,0,,15,2,,,"596,509","66,279","596,509",
Seychelles,,Africa,11,, ,,11,,0,,112,,,,"98,319","8,938",,
Montserrat,,North America,11,,1 ,,10,,0,,"2,204",200,61,"12,220","4,992",454,"4,992",82
Fiji,,Australia/Oceania,18,, ,,18,,0,,20,,"2,431","2,713","896,138","49,785",,369
British Virgin Islands,,North America,8,,1 ,,7,,0,,265,33,212,"7,015","30,222","3,778","30,222",143
Vatican City,,Europe,12,, ,,12,,0,,"14,981",,,,801,67,,
Laos,,Asia,19,, ,,19,,0,,3,,"10,146","1,396","7,270,167","382,640",,717
Greenland,,North America,13,, ,,13,,0,,229,,"2,511","44,234","56,766","4,367",,23
Saint Kitts and Nevis,,North America,15,, ,,15,,0,,282,,417,"7,841","53,181","3,545",,128
Turks and Caicos,,North America,12,,1 ,,11,,0,,310,26,245,"6,332","38,691","3,224","38,691",158
Falkland Islands,,South America,13,, ,,13,,0,,"3,742",,671,"193,149","3,474",267,,5
Dominica,,North America,18,, ,,16,,2,,250,,534,"7,419","71,978","3,999",,135
New Caledonia,,Australia/Oceania,21,, ,,20,,1,,74,,"7,582","26,569","285,365","13,589",,38
Grenada,,North America,23,, ,,22,,1,1,204,,"4,130","36,711","112,499","4,891",,27
Timor-Leste,,Asia,24,, ,,24,,0,,18,,"1,568","1,190","1,317,101","54,879",,840
Antigua and Barbuda,,North America,26,,3 ,,20,,3,1,266,31,489,"4,995","97,890","3,765","32,630",200
Saint Lucia,,North America,19,, ,,18,,1,,103,,"1,264","6,885","183,588","9,663",,145
St. Vincent Grenadines,,North America,27,, ,,25,,2,,243,,643,"5,797","110,924","4,108",,173
Gambia,,Africa,28,,1 ,,24,,3,,12,0.4,"1,970",817,"2,412,698","86,168","2,412,698","1,225"
Macao,,Asia,45,, ,,45,,0,,69,,,,"648,887","14,420",,
Namibia,,Africa,32,, ,,17,,15,1,13,,"5,682","2,238","2,538,466","79,327",,447
Belize,,North America,20,,2 ,,16,,2,,50,5,"1,776","4,471","397,245","19,862","198,623",224
French Polynesia,,Australia/Oceania,60,, ,,60,,0,,214,,"4,262","15,176","280,832","4,681",,66
