"Country, Others",State,Continent,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases / 1M Polulation,Deaths / 1M Population,Total Tests,Tests / 1M Population,Population,1 Case ever X People,1 Death ever X People,1 Test ever X People
Burkina Faso,,Africa,894,+2,53 ,,799,,42,,43,3,,,"20,869,969","23,344","393,773",
Cyprus,,Asia,980,,18 ,,807,,155,4,812,15,"140,126","116,100","1,206,943","1,232","67,052",9
Niger,,Africa,980,,66 ,,881,,33,,41,3,"6,275",260,"24,151,361","24,644","365,930","3,849"
Hong Kong,,Asia,"1,110",,4 ,,"1,067",+6,39,3,148,0.5,"241,992","32,291","7,494,079","6,751","1,873,520",31
Tunisia,,Africa,"1,096",+2,49 ,,998,+3,49,,93,4,"59,887","5,070","11,812,566","10,778","241,073",197
Georgia,,Asia,864,+13,14 ,,703,+1,147,6,217,4,"75,918","19,029","3,989,493","4,617","284,964",53
Latvia,,Europe,"1,097",,28 ,,845,,224,1,581,15,"127,450","67,541","1,886,992","1,720","67,393",15
Jordan,,Asia,961,+8,9 ,,682,+4,270,3,94,0.9,"275,480","27,013","10,198,205","10,612","1,133,134",37
Madagascar,,Africa,"1,272",+20,10 ,,367,+5,895,9,46,0.4,"15,756",570,"27,650,334","21,738","2,765,033","1,755"
Sierra Leone,,Africa,"1,169",+37,51 ,,680,+10,438,,147,6,,,"7,968,190","6,816","156,239",
Paraguay,,South America,"1,261",,11 ,,647,,603,2,177,2,"46,608","6,539","7,128,166","5,653","648,015",153
French Guiana,,South America,"1,255",+94,3 ,+1,534,+14,718,6,"4,208",10,277,929,"298,239",238,"99,413","1,077"
Equatorial Guinea,,Africa,"1,306",,12 ,,200,,"1,094",,933,9,"8,268","5,905","1,400,166","1,072","116,681",169
Zambia,,Africa,"1,357",,10 ,,"1,114",+10,233,1,74,0.5,"44,126","2,404","18,353,872","13,525","1,835,387",416
Lebanon,,Asia,"1,446",+4,32 ,,868,,546,10,212,5,"106,149","15,549","6,826,708","4,721","213,335",64
Nicaragua,,North America,"1,464",,55 ,,953,,456,,221,8,,,"6,620,637","4,522","120,375",
Guinea-Bissau,,Africa,"1,460",,15 ,,153,,"1,292",5,743,8,"1,500",763,"1,965,396","1,346","131,026","1,310"
Slovenia,,Europe,"1,495",+3,109 ,,"1,359",,27,,719,52,"88,754","42,692","2,078,926","1,391","19,073",23
Slovakia,,Europe,"1,548",+3,28 ,,"1,410",,110,,284,5,"196,723","36,033","5,459,526","3,527","194,983",28
New Zealand,,Australia/Oceania,"1,504",,22 ,,"1,482",,0,,301,4,"310,297","62,033","5,002,100 ","3,326","227,368",16
Albania,,Europe,"1,521",+57,36 ,,"1,044",+5,441,7,529,13,"18,250","6,341","2,877,932","1,892","79,943",158
Mauritania,,Africa,"1,682",,83 ,,311,,"1,288",25,362,18,"7,654","1,649","4,642,634","2,760","55,935",607
Costa Rica,,North America,"1,662",,12 ,,743,,907,3,326,2,"31,763","6,238","5,091,874","3,064","424,323",160
Sri Lanka,,Asia,"1,889",+5,11 ,,"1,287",+35,591,1,88,0.5,"85,967","4,015","21,409,146","11,334","1,946,286",249
South Sudan,,Africa,"1,693",,27 ,,49,,"1,617",,151,2,"3,356",300,"11,187,215","6,608","414,341","3,333"
Lithuania,,Europe,"1,768",+5,75 ,,"1,427",+11,266,17,649,28,"363,528","133,469","2,723,683","1,541","36,316",7
Mali,,Africa,"1,809",+33,104 ,,"1,088",+30,617,,89,5,"3,483",172,"20,216,492","11,176","194,389","5,804"
Iceland,,Europe,"1,810",+2,10 ,,"1,796",+2,4,,"5,306",29,"63,184","185,215","341,139",188,"34,114",5
Estonia,,Europe,"1,973",,69 ,,"1,705",,199,,"1,487",52,"95,997","72,369","1,326,496",672,"19,225",14
Maldives,,Asia,"2,013",,8 ,,"1,217",,788,9,"3,727",15,"28,940","53,588","540,042",268,"67,505",19
CAR,,Africa,"2,057",,7 ,,363,,"1,687",2,426,1,"18,921","3,921","4,825,349","2,346","689,336",255
Croatia,,Europe,"2,252",+1,107 ,,"2,134",,11,,548,26,"70,110","17,074","4,106,292","1,823","38,377",59
Cuba,,North America,"2,248",+10,84 ,,"1,948",+25,216,5,198,7,"133,763","11,809","11,326,915","5,039","134,844",85
Mayotte,,Africa,"2,282",,28 ,,"1,790",,464,12,"8,376",103,"8,800","32,300","272,445",119,"9,730",31
Thailand,,Asia,"3,135",+1,58 ,,"2,987",,90,1,45,0.8,"468,175","6,708","69,792,125","22,262","1,203,313",149
Somalia,,Africa,"2,618",+39,88 ,+1,577,+18,"1,953",2,165,6,,,"15,867,340","6,061","180,311",
Kyrgyzstan,,Asia,"2,285",+78,27 ,,"1,791",+69,467,11,351,4,"150,612","23,105","6,518,583","2,853","241,429",43
Greece,,Europe,"3,121",+9,183 ,,"1,374",,"1,564",13,299,18,"250,923","24,069","10,425,147","3,340","56,968",42
Bosnia and Herzegovina,,Europe,"2,893",,163 ,,"2,119",,611,4,882,50,"75,171","22,906","3,281,645","1,134","20,133",44
Venezuela,,South America,"2,904",,24 ,,487,,"2,393",1,102,0.8,"1,066,791","37,511","28,439,335","9,793","1,184,972",27
Ethiopia,,Africa,"3,345",+179,57 ,+2,545,+50,"2,743",30,29,0.5,"181,349","1,580","114,802,321","34,321","2,014,076",633
Kenya,,Africa,"3,594",+137,103 ,+3,"1,253",+32,"2,238",7,67,2,"112,171","2,089","53,706,004","14,943","521,418",479
Bulgaria,,Europe,"3,266",,172 ,,"1,723",,"1,371",16,470,25,"103,077","14,830","6,950,527","2,128","40,410",67
Gabon,,Africa,"3,463",,23 ,,"1,024",,"2,416",17,"1,558",10,"19,517","8,780","2,222,794",642,"96,643",114
El Salvador,,North America,"3,720",+117,72 ,,"1,837",+99,"1,811",137,574,11,"123,360","19,023","6,484,695","1,743","90,065",53
North Macedonia,,Europe,"4,057",+162,188 ,+9,"1,710",+5,"2,159",34,"1,947",90,"42,262","20,285","2,083,378",514,"11,082",49
Hungary,,Europe,"4,069",+5,562 ,+3,"2,482",+6,"1,025",20,421,58,"233,742","24,193","9,661,388","2,374","17,191",41
Luxembourg,,Europe,"4,070",+7,110 ,,"3,929",+7,31,,"6,507",176,"106,604","170,444","625,448",154,"5,686",6
Haiti,,North America,"4,165",+224,70 ,+6,24,,"4,071",,365,6,"8,488",745,"11,395,599","2,736","162,794","1,343"
Djibouti,,Africa,"4,465",+16,43 ,+2,"2,950",+127,"1,472",,"4,523",44,"40,855","41,382","987,266",221,"22,960",24
Guinea,,Africa,"4,484",,25 ,,"3,213",,"1,246",24,342,2,"14,407","1,099","13,112,156","2,924","524,486",910
DRC,,Africa,"4,778",+54,107 ,+1,600,+5,"4,071",,53,1,,,"89,398,642","18,710","835,501",
Ivory Coast,,Africa,"4,848",,45 ,,"2,397",,"2,406",,184,2,"35,935","1,364","26,341,285","5,433","585,362",733
Uzbekistan,,Asia,"5,051",+85,19 ,,"3,910",+36,"1,122",16,151,0.6,"748,555","22,382","33,444,432","6,621","1,760,233",45
Senegal,,Africa,"5,090",+94,60 ,,"3,344",+116,"1,686",23,304,4,"59,008","3,529","16,718,552","3,285","278,643",283
Nepal,,Asia,"5,760",+425,19 ,+1,974,+61,"4,767",,198,0.7,"344,098","11,821","29,109,067","5,054","1,532,056",85
Sudan,,Africa,"7,007",,447 ,,"2,556",,"4,004",,160,10,401,9,"43,792,082","6,250","97,969","109,207"
Finland,,Europe,"7,104",+17,326 ,+1,"6,200",,578,1,"1,282",59,"219,500","39,619","5,540,338",780,"16,995",25
Norway,,Europe,"8,629",+1,242 ,,"8,138",,249,5,"1,592",45,"277,253","51,161","5,419,225",628,"22,393",20
Australia,,Australia/Oceania,"7,320",+18,102 ,,"6,838",+26,380,3,287,4,"1,812,353","71,114","25,485,226","3,482","249,855",14
Malaysia,,Asia,"8,453",+8,121 ,+1,"7,346",+35,986,4,261,4,"618,360","19,118","32,345,191","3,826","267,316",52
Honduras,,North America,"8,455",+323,310 ,+4,894,+50,"7,251",13,854,31,"21,540","2,177","9,896,444","1,170","31,924",459
Tajikistan,,Asia,"5,035",+64,50 ,,"3,409",+121,"1,576",,529,5,,,"9,525,785","1,892","190,516",
Cameroon,,Africa,"8,681",,212 ,,"4,836",,"3,633",28,327,8,,,"26,508,397","3,054","125,040",
Azerbaijan,,Asia,"9,957",+387,119 ,+4,"5,583",+274,"4,255",66,982,12,"362,654","35,783","10,134,773","1,018","85,166",28
Morocco,,Africa,"8,734",+42,212 ,,"7,725",+29,797,7,237,6,"406,994","11,033","36,888,828","4,224","174,004",91
Guatemala,,North America,"9,491",+509,367 ,+16,"1,804",+102,"7,320",5,530,21,"31,427","1,756","17,897,934","1,886","48,768",570
Czechia,,Europe,"9,999",+8,329 ,+1,"7,219",,"2,451",14,934,31,"496,417","46,359","10,708,097","1,071","32,547",22
Ghana,,Africa,"11,422",+304,51 ,+3,"4,156",+177,"7,215",4,368,2,"245,448","7,908","31,037,593","2,717","608,580",126
Denmark,,Europe,"12,193",+54,597 ,,"11,068",+33,528,11,"2,105",103,"799,876","138,117","5,791,277",475,"9,701",7
Algeria,,Africa,"10,919",+109,767 ,+7,"7,606",+186,"2,546",39,249,18,,,"43,809,098","4,012","57,117",
Moldova,,Europe,"11,740",+281,406 ,+8,"6,623",+202,"4,711",378,"2,910",101,"63,328","15,697","4,034,360",344,"9,937",64
S. Korea,,Asia,"12,085",+34,277 ,,"10,718",+27,"1,090",15,236,5,"1,100,328","21,463","51,267,244","4,242","185,080",47
Serbia,,Europe,"12,310",+59,254 ,+1,"11,511",+163,545,15,"1,409",29,"302,928","34,665","8,738,833",710,"34,405",29
Kazakhstan,,Asia,"14,496",+258,73 ,,"9,188",+359,"5,235",77,772,4,"1,135,407","60,505","18,765,538","1,295","257,062",17
Austria,,Europe,"17,109",+31,677 ,,"16,059",+47,373,12,"1,900",75,"524,840","58,290","9,004,010",526,"13,300",17
Bolivia,,South America,"17,842",+913,585 ,+26,"2,768",+337,"14,489",71,"1,530",50,"46,069","3,949","11,664,961",654,"19,940",253
Israel,,Asia,"19,008",+36,300 ,,"15,360",+3,"3,348",34,"2,067",33,"747,956","81,321","9,197,590 ",484,"30,659",12
